H5,H6,L2,H4,L2
L4,L2,L1,L2,L4
H6,L1,H6,L4,L2
H2,H3,L2,H1,H4
L3,H4,L4,H5,H4
H6,L3,H6,L1,L3
L3,H2,L3,L3,H2
H3,L2,H5,H2,H6
H1,L1,H5,S,H5
L2,H5,H4,H6,L3
L2,L1,H1,L4,L2
L4,L3,L2,L3,L4
H2,L2,L1,L2,L1
W,H3,L4,L4,L4
H3,L4,H5,H4,L2
L1,H1,H3,K,L3
L3,H6,H3,L1,H5
H6,M,L3,H6,L4
L1,L4,L2,L3,L2
S,L2,H2,H4,H2
L2,H6,L3,L1,M
H4,K,W,L3,K
L4,L4,L4,L4,L4
H5,L3,L1,H5,L3
L4,H6,M,L2,L4
L1,L3,L1,H5,H3
L4,S,L1,L4,L3
H6,H3,S,L4,L1
L3,L2,L1,W,H3
H4,L4,L4,H2,S
S,H5,L1,L1,L2
L4,L4,H6,L1,W
L2,H4,K,H3,H6
H5,L2,L3,L3,H6
H3,W,L4,L1,L1
M,H2,H6,H3,H5
L2,L3,L4,H4,H5
H5,L4,H5,L2,L1
K,L1,H4,L4,H6
L1,H6,H4,L2,L1
L4,L1,L3,L2,H5
H4,S,L2,H5,H6
L1,L3,L3,H6,H6
H4,H5,L2,H6,H4
H6,L1,H2,L3,H4
L1,L1,H6,H5,L1
L2,H6,L4,L1,L4
L3,L2,H3,M,L1
L3,H4,H5,L2,L3
L3,L4,S,H6,L3
H6,H5,L3,H3,L2
L1,H5,H6,L3,S
L2,L3,H4,S,H3
H5,H4,L2,H6,H1
