L4,H6,H6,L3,L3
L1,H6,L4,L1,L1
L2,L3,H6,L4,L1
H6,H1,H6,H3,H6
M,H2,L4,L1,L4
H5,L4,M,H6,H4
L3,K,L3,L3,L2
H5,H3,L2,L3,L2
H4,S,H5,M,L3
H3,L3,L4,H1,H5
L4,L1,H3,L1,L3
L4,H5,H5,L1,H6
L4,H4,L1,H4,L3
L3,M,L2,H2,S
H6,H2,H1,S,H6
L3,L1,H6,L2,H3
L4,H5,L4,H3,H6
H5,L1,H2,L2,H4
H6,L3,L2,L4,M
H4,L4,L3,L1,L2
H6,L1,H4,H4,L1
H3,H5,L4,H4,H5
L2,L2,H2,H6,L2
L3,L3,K,H5,H5
M,L2,L2,L3,L1
L4,H3,L1,H3,H2
H5,L4,L1,L2,H1
S,L3,H6,H6,L3
H5,L2,M,H2,L2
L1,L2,H4,H6,L4
H6,H6,L3,L4,H2
L4,H4,L1,L4,L1
L2,L2,L1,L2,L1
H2,L3,H4,L1,L4
H3,L3,H3,L3,H5
L4,H3,H3,K,H4
L2,H6,H6,H5,H3
H6,L4,H5,L4,L1
L1,L4,L4,H5,H6
K,L1,L2,L1,S
S,H5,H5,H6,L3
L1,L1,L3,L2,L2
L1,M,L3,L2,H4
H4,H4,L2,M,L4
K,H6,S,L2,K
L1,H4,L4,H5,H3
L3,L2,L2,L4,K
H2,L4,L3,H4,M
L3,L3,L2,S,L3
L2,H6,L1,L1,H6
L4,K,S,H5,L4
L2,H5,L3,L3,L4
H1,L1,H4,H6,H5
H4,L2,K,K,L1
L2,S,H5,L4,L1
